"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"1",2016,"aguascalientes",NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2",2017,"aguascalientes",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3",2018,"aguascalientes",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2019,"aguascalientes",NA,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1
"5",2020,"aguascalientes",NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"6",2021,"aguascalientes",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2022,"aguascalientes",NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"8",2023,"aguascalientes",NA,8,14,6,5,10,9,3,2,4,1,1,1,2,3,4
"9",2016,"baja california",6,6,0,1,3,1,0,3,2,1,1,0,1,0,NA,NA
"10",2017,"baja california",0,3,3,0,3,0,0,1,2,0,2,0,0,0,NA,NA
"11",2018,"baja california",0,0,2,0,0,0,3,0,1,0,1,0,0,0,NA,NA
"12",2019,"baja california",0,0,3,3,2,3,2,1,2,4,1,1,0,1,NA,NA
"13",2020,"baja california",0,0,2,2,0,0,0,0,0,0,0,0,0,0,NA,NA
"14",2021,"baja california",0,1,0,0,2,0,0,0,0,1,0,0,0,0,NA,NA
"15",2022,"baja california",0,0,0,0,0,2,1,4,3,0,1,2,0,1,NA,NA
"16",2023,"baja california",0,3,2,0,3,2,4,1,1,3,2,2,3,1,NA,NA
"17",2016,"baja california sur",9,3,4,4,6,3,6,3,5,5,3,5,4,0,0,3
"18",2017,"baja california sur",0,3,1,2,3,3,0,1,1,1,3,2,5,1,0,1
"19",2018,"baja california sur",12,11,16,15,16,16,18,12,11,18,12,10,6,5,2,5
"20",2019,"baja california sur",5,7,6,3,6,8,5,4,3,3,1,2,1,1,0,0
"21",2020,"baja california sur",3,1,4,1,1,0,2,0,1,1,0,1,1,0,0,1
"22",2021,"baja california sur",2,3,0,0,0,1,0,1,0,0,4,0,1,0,1,0
"23",2022,"baja california sur",7,15,11,6,4,7,6,5,5,4,4,2,1,1,2,3
"24",2023,"baja california sur",21,73,72,53,46,55,31,25,20,15,11,7,12,4,7,10
"25",2016,"campeche",11,10,10,8,13,20,9,10,11,5,4,8,7,6,2,4
"26",2017,"campeche",1,2,0,3,2,2,5,2,0,3,0,2,0,1,0,0
"27",2018,"campeche",0,0,1,1,1,1,1,0,1,1,2,3,0,0,0,0
"28",2019,"campeche",19,82,62,33,35,26,19,16,10,14,13,10,6,1,1,3
"29",2020,"campeche",8,31,33,19,13,11,7,3,5,3,3,3,1,2,1,2
"30",2021,"campeche",3,3,9,4,3,3,2,1,1,1,1,2,1,1,2,0
