"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"1",2016,"aguascalientes",0,0,1,1,1,1,1,0,0,1,4,0,0,0,0,0
"2",2017,"aguascalientes",0,2,0,0,0,0,1,3,0,2,1,0,1,0,0,0
"3",2018,"aguascalientes",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"4",2019,"aguascalientes",0,0,2,1,2,4,2,1,1,3,0,4,0,1,0,0
"5",2020,"aguascalientes",0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"6",2021,"aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2022,"aguascalientes",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8",2023,"aguascalientes",6,25,43,45,54,50,45,47,32,25,25,15,11,9,3,3
"9",2016,"baja california",2,2,2,9,4,3,6,4,6,4,2,3,2,0,1,0
"10",2017,"baja california",3,3,3,4,3,10,6,7,4,4,1,0,0,1,0,0
"11",2018,"baja california",0,0,3,1,2,2,1,0,4,1,1,1,0,0,0,0
"12",2019,"baja california",0,0,0,1,3,3,4,2,3,3,7,5,4,1,1,0
"13",2020,"baja california",0,0,1,0,2,1,0,1,0,2,2,1,1,0,0,0
"14",2021,"baja california",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"15",2022,"baja california",2,13,14,13,14,15,8,9,7,9,12,7,6,3,1,1
"16",2023,"baja california",1,7,10,10,5,9,7,9,6,5,7,5,1,1,0,0
"17",2016,"baja california sur",32,74,121,99,111,116,129,105,97,91,62,46,38,24,12,16
"18",2017,"baja california sur",11,11,20,20,20,29,26,38,27,22,29,7,11,4,0,4
"19",2018,"baja california sur",19,66,107,100,91,104,114,79,68,63,51,33,30,12,4,5
"20",2019,"baja california sur",12,15,24,13,32,32,25,17,20,18,16,7,7,1,1,0
"21",2020,"baja california sur",1,7,9,3,5,11,9,3,5,3,3,2,1,0,0,1
"22",2021,"baja california sur",0,1,0,1,4,6,3,3,1,0,2,0,1,0,0,0
"23",2022,"baja california sur",3,5,12,6,7,7,6,15,11,8,7,4,4,2,1,0
"24",2023,"baja california sur",53,86,127,88,107,140,115,98,80,59,56,29,15,8,3,10
"25",2016,"campeche",139,233,246,244,369,357,374,282,218,202,125,94,48,31,19,15
"26",2017,"campeche",40,26,49,27,48,56,59,40,42,22,19,11,8,14,3,4
"27",2018,"campeche",11,27,25,23,23,24,18,24,13,23,10,11,2,7,5,1
"28",2019,"campeche",84,169,170,160,111,103,107,98,81,61,45,39,20,15,5,11
"29",2020,"campeche",15,40,56,50,65,73,48,44,47,35,30,12,5,4,1,4
"30",2021,"campeche",7,8,6,7,12,8,11,8,7,9,9,5,3,2,1,1
"31",2022,"campeche",14,28,41,34,24,30,40,19,33,19,17,10,6,5,0,0
"32",2023,"campeche",391,869,1109,1000,850,690,578,450,428,333,266,156,100,62,42,35
"33",2016,"chiapas",100,144,162,181,184,156,127,121,100,73,59,34,28,19,13,16
"34",2017,"chiapas",179,229,188,145,167,162,93,85,61,40,26,22,10,12,3,9
"35",2018,"chiapas",742,958,760,455,374,275,226,170,142,109,72,81,55,30,12,20
"36",2019,"chiapas",1212,1918,1732,1229,953,775,570,484,377,268,207,152,95,67,51,73
"37",2020,"chiapas",81,109,91,84,88,83,59,47,44,43,31,28,24,11,7,13
"38",2021,"chiapas",55,115,106,58,54,62,43,42,25,21,14,8,8,6,5,5
"39",2022,"chiapas",239,379,430,280,226,221,156,142,93,78,56,43,20,14,9,9
"40",2023,"chiapas",694,1297,1423,972,850,737,641,552,411,352,262,168,104,77,62,66
"41",2016,"chihuahua",0,0,0,1,2,6,1,2,0,1,0,0,0,0,0,0
"42",2017,"chihuahua",2,0,3,3,7,0,1,1,5,3,3,1,2,0,3,1
"43",2018,"chihuahua",0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
"44",2019,"chihuahua",2,3,6,12,6,13,16,15,12,7,15,3,5,4,0,3
"45",2020,"chihuahua",0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"46",2021,"chihuahua",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"47",2022,"chihuahua",2,4,11,14,8,9,9,5,7,8,8,4,2,0,0,2
"48",2023,"chihuahua",0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
"49",2016,"ciudad de m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",2017,"ciudad de m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",2018,"ciudad de m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",2019,"ciudad de m'exico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",2020,"ciudad de m'exico",0,1,1,2,0,5,4,2,9,4,3,1,0,0,1,0
"54",2021,"ciudad de m'exico",1,0,1,0,1,4,2,2,3,1,0,0,2,0,0,1
"55",2022,"ciudad de m'exico",0,0,1,0,2,4,2,3,3,2,1,2,0,0,1,0
