"","NOM_ENT","Year","1A4","5A9","10A14","15A19","20A24","25A29","30A34","35A39","40A44","45A49","50A54","55A59","60A64","65A69","70A74","75YMAS"
"1","aguascalientes","2016",104149.933234521,127139.335500165,134867.34667177,128442.873551112,123241.372855142,106390.096676238,97678.4092320249,92091.7140056258,89398.1594566964,73326.6378151337,64429.1350863544,50763.1931683666,39556.7774795585,28761.0995414089,20848.3590712243,29754.7622961227
"2","aguascalientes","2017",103667.39218019,128139.333778524,133596.242527452,129349.20245436,124208.218316715,109308.15834091,99915.3165009166,93857.8523908646,90157.8364954162,76031.2877298738,66743.9573236679,52691.5405289202,41594.016223545,30392.0161670021,21949.236451163,31140.8636255161
"3","aguascalientes","2018",103187.086805344,129147.197416198,132337.118345562,130261.926668288,125182.64881345,112306.256438904,102203.450588191,95657.8618450644,90923.9690272544,78835.6985415984,69141.9469352319,54693.1402463659,43736.1760951977,32115.4149675484,23108.2445934088,32591.5353546399
"4","aguascalientes","2019",102709.006751771,130162.98827717,131089.861216781,131181.091319998,126164.723850989,115386.586205071,104543.98462559,97492.3919488707,91696.6119089318,81743.5499267468,71626.0919743094,56770.774966559,45988.6607042131,33936.5402041892,24328.4530364843,34109.785442893
"5","aguascalientes","2020",102233.141709249,131186.768712007,129854.359295948,132106.741855026,127154.5034018,118551.403085038,106938.118610434,99362.1047406114,92475.8204633245,84758.6572864667,74199.4878495105,58927.3330400485,48357.1519550256,35860.9335172625,25613.0934029165,35698.7619730089
"6","aguascalientes","2021",101759.481415326,132218.601561686,128630.501792022,133038.924039579,128152.047908847,121803.024386674,109387.080020862,101267.674955211,93261.6504834246,87884.9767528151,76865.341181875,61165.8125374937,50847.6243794421,37894.4507893817,26965.5679579259,37361.7596785874
"7","aguascalientes","2022",101288.015655096,133258.550161454,127418.178958154,133977.683962808,129157.418289276,125143.830976834,111892.124445166,103209.790267685,94054.1582363353,91126.6103796112,79626.9738005344,63489.3254176151,53466.3602074301,40043.2799647455,28389.4586200479,39102.2267757053
"8","aguascalientes","2023",100818.73426098,134306.678344709,126217.282081838,134923.06803908,130170.675938136,128576.269024663,114454.536225527,105189.151541307,94853.4004672996,94487.8115247549,82487.8268819301,65901.1018534734,56219.9652140766,42313.9598789038,29888.5364475521,40923.7721127725
"9","baja california","2016",231126.891548326,300445.677748325,307955.790076454,301670.011764676,310543.410341113,287635.123434162,268895.487826298,261473.839724616,256006.18904388,210210.910073388,183059.856790475,134541.646257156,106880.222689352,74017.5050907503,49612.7837238952,67792.555124885
"10","baja california","2017",228792.788370066,300411.471331059,309216.731261294,305269.764714023,317916.501323693,297452.524391031,277055.103991427,268954.968396632,260440.343172476,221985.02301233,192074.795741782,142438.730019916,113162.897327195,78764.3937192934,53194.6739862228,71807.6910605416
"11","baja california","2018",226482.256822136,300377.268808271,310482.835436157,308912.472616767,325464.648252809,307605.007379599,285462.323180692,276650.142520637,264951.299049146,234418.61521165,201533.683059053,150799.342613271,119814.882578469,83815.7096805892,57035.1656993933,76060.6306392693
"12","baja california","2019",224195.058859465,300343.070179517,311754.123741177,312598.648043643,333192.007402197,318104.009232123,294124.658891825,284565.486233447,269540.386918246,247548.624731749,211458.381358631,159650.691419498,126857.887402663,89190.9765000835,61152.9290921075,80565.4582092856
"13","baja california","2020",221930.958840949,300308.875444353,313030.617403048,316328.809681767,341102.833726113,328961.357136419,303049.852619163,292707.298891912,274208.960064625,261414.058568906,221871.829900067,169021.580790901,134314.896863727,94910.969785426,65567.9823261055,85337.0922896479
"14","baja california","2021",219689.723505179,300274.684602338,314312.337735377,320103.482407619,349201.483202256,340189.281959249,312245.880772185,301082.060086205,278958.395212695,276056.108538352,232798.097606335,178942.505785891,142210.247142543,100997.797524973,70301.7888127839,90391.3349755211
"15","baja california","2022",217471.121946402,300240.497653027,315599.306139041,323923.197360897,357492.415230324,351800.432024474,321720.961804,309696.43479655,283790.092932421,291518.273648052,244262.438695072,189445.751407014,150569.704958801,107474.98553599,75377.3615557711,95744.9242695608
"16","baja california","2023",215274.925590735,300206.314595977,316891.544102545,327788.492019259,365980.195087511,363807.88736146,331483.563556144,318557.278697484,288705.478052331,307846.489326768,256291.351049427,200565.497663877,159420.551661485,114367.568392817,80819.375026717,101415.589512717
"17","baja california sur","2016",51234.1544075947,63830.6160232134,64839.5161404756,62791.9654460037,64699.0049809443,61134.3616504606,62797.9687840835,60744.3387392927,54004.3603279407,44277.5085227265,36625.7747030684,28581.1962354701,20851.4133583127,15872.5435987539,10693.7804467531,13835.4621721075
"18","baja california sur","2017",51267.1254205012,64670.400357806,65613.7025538717,63527.3419891616,65282.7337009588,63042.2477852814,64085.0439805765,61838.5632431734,55369.6556856966,46098.0675467979,38245.3399604504,29825.7453434697,22289.3606948698,16682.1322634485,11142.6839894157,14518.0756723942
"19","baja california sur","2018",51300.1176514351,65521.2332733549,66397.1327839767,64271.3307593199,65871.7289504766,65009.6753859025,65398.498415021,62952.4986746851,56769.4673566277,47993.4825252966,39936.5212217036,31124.4875114609,23826.4712155804,17533.0144865399,11610.4316061285,15234.3679312924
"20","baja california sur","2019",51333.131114051,66383.2601299677,67189.9172023312,65024.0326169897,66466.0382452908,67038.5026272356,66738.8727428478,64086.5000986861,58204.6679547575,49966.8313116945,41702.4852947026,32479.7825400594,25469.583374706,18427.2964708933,12097.8143334796,15986.0005900986
"21","baja california sur","2020",51366.1658220122,67256.6282001749,67992.1674983168,65785.5496038912,67065.7095298922,69130.6456742658,68106.7187004864,65240.9289760321,59676.1521548442,52021.3183116139,43546.5390212747,33894.0929858231,27226.0072174225,19367.1918475217,12605.6564141932,16774.7172721037
"22","baja california sur","2021",51399.2217889908,68141.4866940908,68803.9966948905,66555.9849567876,67670.7911813376,71288.0804918116,69502.5993324749,66416.1532787922,61184.8372501029,54160.2796862742,45472.1354694006,35369.9886356913,29103.5569014955,20355.0271550241,13134.8166910565,17602.3476274174
"23","baja california sur","2022",51432.2990286678,69037.9867849052,69625.5191645082,67335.4431214803,68281.3320131523,73512.8447107619,70927.0892232258,67612.5476075387,62731.6637240274,56387.1887698888,47482.8803992284,36910.1511762597,31110.5854617039,21393.2475985043,13686.1900593613,18470.811577356
"24","baja california sur","2023",51465.397554733,69946.2816347103,70456.8506452373,68124.0297669686,68897.3812792679,75807.0395525565,72380.7747335412,68830.4933107505,64317.5958366684,58705.6617098093,49582.5390150112,38517.3790663762,33256.0219716733,22484.4231022285,14260.7089803166,19382.1237682398
"25","campeche","2016",67473.3847238453,81173.2958609119,81293.4234427059,80041.215742418,82647.572542285,75242.8394823218,72511.4354126155,67147.8552606099,61497.4368924621,50558.5747839072,45670.0300878622,35598.3758053883,28741.9425782809,21516.1341745868,14938.3836306876,23952.6038602898
"26","campeche","2017",66829.4653145132,81477.2875954595,81104.5422673519,79139.2319381376,80908.317824277,74710.5786017551,72644.9242472768,67995.1096293621,62227.0376977069,52300.7431206517,46829.4964270319,36876.8943203261,29736.2402085944,22540.5563160739,15572.4163436364,24590.0662983517
"27","campeche","2018",66191.6910275492,81782.4177705951,80916.0999478967,78247.4125819561,79205.6643866341,74182.0828853812,72778.6588261974,68853.0544358443,62965.2944301238,54102.9438164278,48018.3991863021,38201.3309300099,30764.934531997,23613.7530522653,16233.3594299581,25244.4938380915
"28","campeche","2019",65560.0032181471,82088.6906497471,80728.0954646806,77365.6431307911,77538.8419835087,73657.3256987772,72912.6396017764,69721.8245692505,63712.3097829592,55967.2454911587,49237.4856946802,39573.3347864861,31829.2154663356,24738.0466300084,16922.3550518476,25916.3379801118
"29","campeche","2020",64934.3438011664,82396.1105123102,80540.5278004132,76493.8103323453,75907.0965782858,73136.2805959295,73046.8670272458,70601.5566207718,64468.187667804,57895.7880461308,50487.5222542905,40994.6142712287,32930.3140934281,25915.8698625319,17640.5938485113,26606.0622410231
"30","campeche","2021",64314.6552457909,82704.6816537054,80353.3959401676,75631.8022105608,74309.6900024723,72618.9213179014,73181.341556672,71492.3889050718,65233.0332290484,59890.7851202363,51769.2946220624,42466.9391223688,34069.5040830887,27149.7713937109,18389.3169936863,27314.1424732315
"31","campeche","2022",63700.880570239,83014.4083854399,80166.6988713751,74779.5080512366,72745.899621764,72105.2217915093,73316.0636449574,72394.461482033,66006.9528585071,61954.5266308545,53083.6085036466,43992.1426383243,35248.1031664148,28442.4212129744,19169.8183404874,28041.0671932376
"32","campeche","2023",63092.9633365238,83325.2950351673,79980.4355838197,73936.8183878095,71215.0180091412,71595.1561280089,73451.0337478416,73307.9161787773,66790.0542102193,64089.3814022873,54431.2900598713,45572.1239605723,36467.4746600416,29796.6164327871,19983.4466572878,28787.3379186719
"33","chiapas","2016",470321.193465137,593291.660804086,571386.674310888,527106.350390126,474634.640619903,405845.921099652,379833.664827688,349817.846303445,304643.784145193,255936.830343243,220078.18494852,172343.342956883,138349.857162807,103990.687229362,80435.2192346275,118080.90929204
"34","chiapas","2017",468919.431456755,598861.153115111,575024.020470735,527637.732486181,472680.913977809,410924.644285131,384306.660624331,355889.750860351,310997.719441037,263089.244993173,226078.484718415,178280.179703897,143364.868851069,109192.505582757,81860.1946523114,122794.056651145
"35","chiapas","2018",467521.847309707,604482.928723967,578684.521330685,528169.650274762,470735.22941159,416066.922203709,388832.331297504,362067.04748155,317484.178345913,270441.541134391,232242.379064197,184421.52699339,148561.668527762,114654.529103583,83310.4146700638,127695.327206133
"36","chiapas","2019",466128.428572145,610157.478437191,582368.32428945,528702.104295906,468797.553817849,421273.5501742,393411.297156893,368351.565492109,324105.924895985,277999.304658169,238574.328293898,190774.429749075,153946.845783259,120389.773765208,84786.3265165349,132792.229811305
"37","chiapas","2020",464739.162829334,615885.297668739,586075.577684054,529235.095090196,466867.854229454,426545.333467972,398044.185817073,374745.165969299,330865.780776739,285768.277559181,245078.914323174,197346.175576289,159527.229072456,126411.906625545,86288.3853433948,138092.573033569
"38","chiapas","2021",463354.037703542,621666.886483236,589806.430795811,529768.623198759,464946.097814975,431883.087433497,402731.63228353,381249.742293727,337766.626525368,293754.362297975,251760.843990867,204144.303121819,165309.894373316,132735.278395578,87817.0543656958,143604.477115334
"39","chiapas","2022",461973.040853925,627502.749639638,593561.033856331,530302.689163268,463032.251878126,437287.63762245,407474.2790397,387867.220710036,344811.402758239,301963.626285355,258624.952464954,211176.610721716,171302.174159279,139374.95763703,89372.8050047225,149336.386414896
"40","chiapas","2023",460596.159976425,633393.396635297,597339.538053574,530837.293525941,461126.283857205,442759.819917394,412272.776135031,394599.560897338,352003.111423961,310402.30649208,265676.206741372,218451.165346992,177511.6666969,146346.766670669,90956.1170333712,155297.082343389
"41","chihuahua","2016",257327.883491809,336132.468327691,342514.440601249,322044.29756466,311635.520045451,274961.714739051,262452.838366588,257272.317628928,252701.05933629,224312.241978025,190194.618072913,149013.884116521,115807.271992415,88686.1872081183,65511.1085033043,86492.6834216516
"42","chihuahua","2017",253360.520904613,331497.130239955,340466.962058593,323276.278071608,312401.182964797,280762.434068082,265826.008498608,258989.072918428,252650.397746646,230251.68704814,197329.340806775,154900.831517854,121680.62846905,91650.3218624704,67575.9914891264,90617.6205314118
"43","chihuahua","2018",249454.325283409,326925.714448374,338431.722907582,324512.971520163,313168.727055154,286685.528051222,269242.532235833,260717.283963258,252599.746313654,236348.399539016,204731.706594919,161020.348856624,127851.861889924,94713.5259945589,69705.9587307724,94939.2807105271
"44","chihuahua","2019",245608.353584136,322417.339450914,336408.649983734,325754.395939685,313938.156938404,292733.578360694,272702.966779654,262457.027206654,252549.105035277,242606.543651405,212411.755463732,167381.624048418,134336.079574718,97879.1107769731,71903.0616570086,99467.0459119795
