"","serotype","ENTIDAD_RES","YEAR","prop_non_hosp","prop_hosp"
"1","DENV1","aguascalientes",2016,1.7307625739901e-05,1
"2","DENV1","aguascalientes",2017,3.4615251479802e-05,3.4615251479802e-05
"3","DENV1","aguascalientes",2018,0,0
"4","DENV1","aguascalientes",2019,0.000121153380179307,0.4
"5","DENV1","aguascalientes",2020,0,0
"6","DENV1","aguascalientes",2021,0,0
"7","DENV1","aguascalientes",2022,0,0
"8","DENV1","aguascalientes",2023,0.00359998615389941,0.842105263157895
"9","DENV1","baja california",2016,0,1
"10","DENV1","baja california",2017,3.4615251479802e-05,3.4615251479802e-05
"11","DENV1","baja california",2018,1.7307625739901e-05,1.7307625739901e-05
"12","DENV1","baja california",2019,8.6538128699505e-05,0.5
"13","DENV1","baja california",2020,1.7307625739901e-05,1.7307625739901e-05
"14","DENV1","baja california",2021,0,0
"15","DENV1","baja california",2022,0,0
"16","DENV1","baja california",2023,0.000536536397936931,0.333333333333333
"17","DENV1","baja california sur",2016,0.000121153380179307,0.000121153380179307
"18","DENV1","baja california sur",2017,0,0
"19","DENV1","baja california sur",2018,3.4615251479802e-05,0
"20","DENV1","baja california sur",2019,6.9230502959604e-05,0.285714285714286
"21","DENV1","baja california sur",2020,6.9230502959604e-05,0.5
"22","DENV1","baja california sur",2021,0,0.5
"23","DENV1","baja california sur",2022,5.1922877219703e-05,0.518518518518518
"24","DENV1","baja california sur",2023,0.00148845581363149,0.534246575342466
"25","DENV1","campeche",2016,5.1922877219703e-05,0.4
"26","DENV1","campeche",2017,0,0
"27","DENV1","campeche",2018,3.4615251479802e-05,0.5
"28","DENV1","campeche",2019,0.000138461005919208,0.272727272727273
"29","DENV1","campeche",2020,3.4615251479802e-05,0.142857142857143
"30","DENV1","campeche",2021,0,0
"31","DENV1","campeche",2022,6.9230502959604e-05,0.0333333333333333
"32","DENV1","campeche",2023,3.4615251479802e-05,0.00714285714285714
"33","DENV1","chiapas",2016,0.000121153380179307,0.05
"34","DENV1","chiapas",2017,1.7307625739901e-05,0.0849673202614379
"35","DENV1","chiapas",2018,0.000155768631659109,0.0107398568019093
"36","DENV1","chiapas",2019,0.000259614386098515,0.0700757575757576
"37","DENV1","chiapas",2020,1.7307625739901e-05,0.134328358208955
"38","DENV1","chiapas",2021,0.000571151649416733,0.571428571428571
"39","DENV1","chiapas",2022,0.000363460140537921,0.5234375
"40","DENV1","chiapas",2023,0.000623074526636436,0.276150627615063
"41","DENV1","chihuahua",2016,0,0
"42","DENV1","chihuahua",2017,0,1
"43","DENV1","chihuahua",2018,0,0
"44","DENV1","chihuahua",2019,0.000623074526636436,0.833333333333333
"45","DENV1","chihuahua",2020,0,0
"46","DENV1","chihuahua",2021,0,0
"47","DENV1","chihuahua",2022,0,0
"48","DENV1","chihuahua",2023,0,0
"49","DENV1","ciudad de m'exico",2016,0,0
"50","DENV1","ciudad de m'exico",2017,0,0
"51","DENV1","ciudad de m'exico",2018,0,0
"52","DENV1","ciudad de m'exico",2019,0,0
"53","DENV1","ciudad de m'exico",2020,6.9230502959604e-05,0
"54","DENV1","ciudad de m'exico",2021,3.4615251479802e-05,0
"55","DENV1","ciudad de m'exico",2022,0,0.333333333333333
"56","DENV1","ciudad de m'exico",2023,0.000242306760358614,0.25
"57","DENV1","coahuila",2016,0.000103845754439406,1
"58","DENV1","coahuila",2017,0.000501921146457129,0.758620689655172
"59","DENV1","coahuila",2018,0.000103845754439406,0.6
"60","DENV1","coahuila",2019,0.000796150784035446,0.607142857142857
"61","DENV1","coahuila",2020,1.7307625739901e-05,0.0185185185185185
"62","DENV1","coahuila",2021,0.0132576413167642,0.836734693877551
"63","DENV1","coahuila",2022,3.4615251479802e-05,0.0169491525423729
"64","DENV1","coahuila",2023,5.1922877219703e-05,0
"65","DENV1","colima",2016,0.000380767766277822,1
"66","DENV1","colima",2017,6.9230502959604e-05,0
"67","DENV1","colima",2018,0.000259614386098515,0.266666666666667
"68","DENV1","colima",2019,0.000398075392017723,0.457831325301205
"69","DENV1","colima",2020,0.00017307625739901,0.0505050505050505
"70","DENV1","colima",2021,8.6538128699505e-05,0.0882352941176471
"71","DENV1","colima",2022,3.4615251479802e-05,0.0114942528735632
"72","DENV1","colima",2023,0.00147114818789159,0.263157894736842
"73","DENV1","distrito federal",2016,8.6538128699505e-05,1
"74","DENV1","distrito federal",2017,6.9230502959604e-05,0
"75","DENV1","distrito federal",2018,5.1922877219703e-05,0.5
"76","DENV1","distrito federal",2019,0.000398075392017723,0.2
"77","DENV1","distrito federal",2020,0,0
"78","DENV1","distrito federal",2021,0,0
"79","DENV1","distrito federal",2022,0,0
"80","DENV1","distrito federal",2023,0,0
"81","DENV1","durango",2016,0.00214614559174772,1
"82","DENV1","durango",2017,0.00276922011838416,0.933333333333333
"83","DENV1","durango",2018,0,0
"84","DENV1","durango",2019,0,1
"85","DENV1","durango",2020,1.7307625739901e-05,0
"86","DENV1","durango",2021,8.6538128699505e-05,8.6538128699505e-05
"87","DENV1","durango",2022,0,0
"88","DENV1","durango",2023,1.7307625739901e-05,0.25
"89","DENV1","guanajuato",2016,0.000276922011838416,0.000276922011838416
"90","DENV1","guanajuato",2017,0.0676208937657932,1
"91","DENV1","guanajuato",2018,0.000726920281075842,0.75
"92","DENV1","guanajuato",2019,0.00299421925300287,0.391304347826087
"93","DENV1","guanajuato",2020,0.00482882758143238,0.857142857142857
"94","DENV1","guanajuato",2021,0.00034615251479802,0.00034615251479802
"95","DENV1","guanajuato",2022,0,0
"96","DENV1","guanajuato",2023,0.00257883623524525,0.16030534351145
"97","DENV1","guerrero",2016,0.00140191768493198,0.88
"98","DENV1","guerrero",2017,0.000138461005919208,0.952380952380952
"99","DENV1","guerrero",2018,0.000328844889058119,0.588235294117647
"100","DENV1","guerrero",2019,0.00150576343937139,0.236641221374046
"101","DENV1","guerrero",2020,0.000674997403856139,0.0829493087557604
"102","DENV1","guerrero",2021,0.00017307625739901,0.275
"103","DENV1","guerrero",2022,0.00309806500744228,0.620689655172414
"104","DENV1","guerrero",2023,0.00223268372044723,0.243943191311612
"105","DENV1","hidalgo",2016,0.000138461005919208,0.000138461005919208
"106","DENV1","hidalgo",2017,0.00128076430475267,0.875
"107","DENV1","hidalgo",2018,1.7307625739901e-05,0
"108","DENV1","hidalgo",2019,0.000121153380179307,0.173913043478261
"109","DENV1","hidalgo",2020,0,0.25
"110","DENV1","hidalgo",2021,5.1922877219703e-05,0
"111","DENV1","hidalgo",2022,6.9230502959604e-05,6.9230502959604e-05
"112","DENV1","hidalgo",2023,0.00051922877219703,0.307692307692308
"113","DENV1","jalisco",2016,0.00247499048080584,1
"114","DENV1","jalisco",2017,0.00796150784035446,0.857142857142857
